nom_centre;adresse;code_postal;ville;site_web_inscription;latitude;longitude
ESPACE C2B - CRIA 45;"3, rue Edouard Branly";45100;Orléans;http://www.cria45.com;49.631809;-1.641448
ABSOLUTE MJ SOLUTIONS;1 boulevard de Chateaudun MBE;45000;Orléans;http://www.amjsolutions.com;47.906412;1.890077
LEO LAGRANGE FORMATION;"75 Rue Saint-Géry, 46000, CAHORS";46000;Cahors;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1037/23;44.444703;1.440394
OSENGO;111 boulevard GAMBETTA;46000;Cahors;https://osengo.fr/;43.706729;7.255981
LEO LAGRANGE FORMATION;"Maison de la Formation - 6 Avenue Bernard Fontanges, 46100, FIGEAC";46100;Figeac;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1038;44.609128;2.021814
LEO LAGRANGE FORMATION;"Hôtel les Ambassadeurs - 21 Avenue du Général De Gaulle, 46200, SOUILLAC";46200;Souillac;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1039;44.898053;1.477004
LEO LAGRANGE FORMATION - BERGERAC;"1615 rue de la Gare, 47550, AGEN BOE";47550;Agen Boe;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1109/23;44.175068;0.659536
PURPLE CAMPUS - MENDE;"10, rue Albert Einstein, 48000, MENDE";48000;Mende;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1066/23;44.528631;3.468466
TOUT AU LONG DE LA VIE;"29 rue Bougère, 49000, ANGERS";49000;Angers;https://francais.cci-paris-idf.fr/inscription-candidat/contact/929;47.462481;-0.558233
INFREP;5 Square de la Belle Etoile;49000;Angers;https://www.infrep.org/agences/angers/;47.449536;-0.555947
CIDEF;3 place André Leroy BP;10808;Angers;http://www.cidef.uco.fr;47.464357;-0.548296
AFODIL;"15 avenue du Président Kennedy, 49300, CHOLET";49300;Cholet;https://francais.cci-paris-idf.fr/inscription-candidat/contact/21/23;47.046114;-0.892316
CORYLUS FORMATIONS;"1 rue Sévigné, 49400, SAUMUR";49400;Saumur;https://francais.cci-paris-idf.fr/inscription-candidat/contact/380;47.253985;-0.075407
ALLIANCE FRANÇAISE DE NORMANDIE - ROUEN;"26 rue des Moulins, 50100, CHERBOURG-EN-COTENTIN";50100;Cherbourg-en-Cotentin;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1086;49.64167;-1.622976
CENTRE SOCIAL MARCEL MERSIER;"45, avenue des Tilleuls";50000;Saint-Lô;http://epe14.fr;48.727963;2.237041
AEFTI MARNE;"Complexe Gérard Philippe Bât A, entée 3, 1ere étage 19 avenue du Général Sarrail";51000;Châlons-en-Champagne;http://aefti51.com;48.845923;2.256277
HESIO CONSEIL;"14, Allée René Fonck, 51100, REIMS";51100;Reims;https://francais.cci-paris-idf.fr/inscription-candidat/contact/760/23;49.235003;4.068402
FRATE FORMATION CONSEIL - REIMS;"14 rue Edouard Mignot, 51100, REIMS";51100;Reims;https://francais.cci-paris-idf.fr/inscription-candidat/contact/839;49.259975;4.021607
AEFTI MARNE;48 rue Prieur de la Marne;51100;Reims;http://aefti51.com;49.264866;4.050232
GROUPE AFPAM FORMATION;"4, rue Jules Méline";51430;Reims-Bezannes;http://www.afpam-formation.fr;47.255166;-1.517542
FRATE FORMATION - CHAUMONT;"49 Rue Levy Alphandery, 52000, CHAUMONT";52000;Chaumont;https://francais.cci-paris-idf.fr/inscription-candidat/contact/437;48.105269;5.135601
POINFOR;48 rue de la Chavoie Brottes;52000;Chaumont;http://www.poinfor.org;48.083232;5.137461
MONDIA-LANGUES INSTITUT;62 Rue de Vaufleury;53000;Laval;http://www.mondia-langues.fr;48.064735;-0.778411
INTERNATIONAL HOUSE - NANCY COEUR D'EUROPE;"15 RUE STE CATHERINE , 54100, NANCY";54100;Nancy;https://francais.cci-paris-idf.fr/inscription-candidat/contact/585/23;48.704127;6.155906
GIP FORMATION - CEL;28 rue de Saurupt BP 3039;54012;Nancy;http://www.cel-gip.fr;48.679849;6.184571
HÉSIO CONSEIL;15 Rue Sainte Catherine;54000;Nancy;http://www.hesio.fr;50.639536;3.056173
IBEP - LORIENT;"24 Rue du gaillec, 56100, LORIENT";56100;Lorient;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1061/23;47.761872;-3.397699
UNIVERSITÉ DE BRETAGNE SUD;"4, rue Jean Zay";56100;Lorient;http://www.univ-ubs.fr/clubs;51.021274;2.337466
IBEP - LORIENT;"14 Avenue Napoléon 1er, 56300, PONTIVY";56300;Pontivy;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1071;48.064881;-2.964874
IBEP FORMATION - VANNES;"11 RUE COUSTEAU, 56860, SENE";56860;Sene;https://francais.cci-paris-idf.fr/inscription-candidat/contact/927/23;47.649873;-2.723372
CLPS L'ENJEU COMPÉTENCES;3 rue Pierre et Marie Curie Parc innovation Bretagne Sud II;56000;Vannes;http://www.clps.net;47.520079;-2.646647
UNIVERSITÉ BRETAGNE SUD;Centre de Langues de l'UBS Campus Vannes Rue André Lwoff;56017;Vannes;http://www.univ-ubs.fr/clubs;47.645556;-2.746167
GIP CEL;Lycée Polyvalent Blaise Pascal 5 rue Paul Ney;57600;Forbach;https://dafpic.ac-nancy-metz.fr/dafpic/site_cel/index.php/qui-sommes-nous/le-cel/;49.180981;6.896225
METZ FRENCHPRO;"9 RUE GRAHAM BELL, 57070, METZ";57070;Metz;https://francais.cci-paris-idf.fr/inscription-candidat/contact/626/23;49.105432;6.220719
CEL - GIP  - MAISON DU FLE;Maison du FLE 3 rue du Limousin Bâtiment 3;57070;Metz;http://www.greta-lorraine.com;43.441747;5.254611
HÉSIO CONSEIL;Espace Carrefour 6 rue Marchant;57000;Metz;http://www.hesio.fr;49.433245;1.016232
FRENCHPRO;9 Rue Graham Bell;57070;Metz;https://metzfrenchpro.com/;49.105432;6.220719
GIP CEL;Lycée La Briquerie 15 route de La Briquerie;57100;Thionville;https://dafco.ac-nancy-metz.fr/dafco/site_caec/wordpress/;49.36455;6.158631
